Mid,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types
36,11226,296.25229,-14.78475,17.49,,16.54,,16.08,,O
37,20331,296.20415,-14.63486,16.58,,15.91,,15.46,,O
38,10184,296.22364,-14.77473,16.44,,15.58,,15.13,,O
39,30133,296.21816,-14.88035,16.3,,15.53,,15.09,,O
40,20134,296.21322,-14.68097,16.35,,15.55,,15.07,,O
41,40139,296.20428,-14.74271,15.25,,14.32,,13.92,,O
42,10198,296.25088,-14.76786,15.5,,14.68,,14.19,,O
43,30292,296.18801,-14.87231,15.88,,15.19,,14.68,,O
44,10091,296.26702,-14.76311,15.46,,14.67,,14.18,,O
45,20004,296.21293,-14.73224,13.72,,12.97,,12.57,,O
46,10817,296.23639,-14.83054,17.7,,16.76,,16.04,,Unknown
47,12751,296.21027,-14.75973,17.89,,16.91,,16.29,,Unknown
48,11032,296.18048,-14.80431,18.2,,16.91,,15.94,,Unknown
49,10748,296.17438,-14.83893,18.58,,17.16,,16.11,,Unknown
50,12208,296.23352,-14.80653,17.87,,16.61,,15.62,,Unknown
51,21419,296.27563,-14.74923,19.93,,18.27,,16.57,,Unknown
52,13364,296.19489,-14.82267,18.1,,16.85,,15.86,,Unknown
53,20239,296.22632,-14.72554,18.04,,16.71,,15.66,,Unknown
54,20558,296.19647,-14.70265,18.21,,16.6,,15.31,,Unknown
55,20840,296.30347,-14.74166,18.7,,17.18,,15.98,,Unknown
56,12466,296.17462,-14.78854,18.42,,17.09,,16.03,,Unknown
57,40114,296.19916,-14.8616,20.21,,18.61,,16.99,,Unknown
58,11059,296.21259,-14.80142,18.38,,16.9,,15.79,,Unknown
59,11296,296.21729,-14.77647,18.37,,16.99,,15.78,,Unknown
60,30928,296.22229,-14.90997,18.95,,17.42,,16.28,,Unknown
61,13106,296.24048,-14.84939,19.1,,17.38,,15.96,,Unknown
62,11305,296.17957,-14.77527,18.02,,16.56,,15.45,,Unknown
63,30920,296.24246,-14.91158,18.95,,17.21,,15.86,,Unknown
64,11140,296.22876,-14.79337,18.75,,17.25,,15.93,,Unknown
65,20439,296.2464,-14.73473,19.15,,17.32,,15.77,,Unknown
66,10753,296.24295,-14.83836,18.4,,17.06,,15.88,,Unknown
67,40520,296.26687,-14.74039,18.41,,16.86,,15.51,,Unknown
68,31168,296.23883,-14.87026,19.49,,17.5,,15.82,,Unknown
69,21671,296.26569,-14.72024,19.78,,17.78,,16.16,,Unknown
70,11174,296.21774,-14.78943,19.12,,17.42,,15.9,,Unknown
71,20569,296.29114,-14.6977,19.24,,17.62,,16.03,,Unknown
72,12445,296.21661,-14.79057,20.26,,18.34,,16.43,,Unknown
73,21141,296.29965,-14.69757,18.16,,16.62,,15.42,,Unknown
74,21234,296.28125,-14.67393,20.16,,18.21,,16.25,,Unknown
75,12147,296.28897,-14.81087,19.93,,17.89,,16.24,,Unknown
76,11299,296.25732,-14.77645,19.06,,17.3,,15.73,,Unknown
77,13293,296.25696,-14.83051,20.3,,18.37,,16.42,,Unknown
78,21029,296.19858,-14.71837,19.11,,17.07,,15.55,,Unknown
79,40102,296.19682,-14.75119,19.69,,17.43,,15.69,,Unknown
80,12177,296.28424,-14.80892,20.5,,18.1,,16.1,,Unknown
81,10807,296.21631,-14.83196,20.37,,18,,15.89,,Unknown
82,40623,296.29793,-14.74687,20.4,,18.08,,16.11,,Unknown
83,30268,296.25891,-14.88796,16.73,,15.44,,14.45,,Unknown
84,20540,296.18011,-14.71067,17.88,,16.89,,16.39,,C
85,40590,296.28567,-14.73952,18.01,,17.04,,16.39,,C
86,20578,296.29065,-14.69641,17.8,,16.82,,16.14,,C
87,20542,296.17703,-14.71031,17.84,,16.76,,16.02,,C
88,30430,296.21802,-14.92573,17.67,,16.56,,15.86,,C
89,12400,296.17468,-14.79389,18,,16.75,,15.88,,C
90,30583,296.30014,-14.87872,18.37,,17.07,,15.88,,C
91,20375,296.18277,-14.74815,18.03,,16.62,,15.59,,C
92,20657,296.22934,-14.65254,17.98,,16.59,,15.56,,C
93,20588,296.29919,-14.69143,17.56,,16.22,,15.16,,C
94,40363,296.23649,-14.85697,19.18,,17.73,,16.32,,C
